,sma_f,sma_s,rsi,sma_r,macd,macdSignal,macdHist,stoch_k,stoch_d,sma_test,macd_test,stoch_over_bought,stoch_over_sold,rsi_over_bought,rsi_over_sold
2017-06-06 00:00:00+00:00,1830.1219999782008,1490.2614771827998,78.36952769227197,68.09600876706001,224.44165287251008,181.70214502061202,42.739507851898054,72.26322401644157,71.75443643540844,1,1,0,0,0,0
2017-06-07 00:00:00+00:00,1857.6711241464009,1504.7945202699996,67.19011496910649,67.17412800261933,227.40764716373224,190.84324544923606,36.56440171449617,69.80615830653781,71.62946854321511,1,1,0,0,0,0
2017-06-08 00:00:00+00:00,1888.1733241464008,1520.8045202699996,70.41976022723254,66.25738003275426,238.50706937817995,200.37601023502484,38.13105914315511,73.16281320478923,71.74406517592284,1,1,0,0,0,0
2017-06-09 00:00:00+00:00,1918.362318879201,1536.6255176386996,71.02545242743143,66.39481038026854,246.7267430642778,209.64615680087542,37.08058626340238,77.07518647190462,73.34805266107719,1,1,0,0,0,0
2017-06-10 00:00:00+00:00,1948.038723279601,1552.1594198388996,70.78772165769122,66.87016860385249,250.01357161020314,217.71963976274097,32.293931847462176,79.60124813518682,76.6130826039602,1,1,0,0,0,0
2017-06-11 00:00:00+00:00,1979.8607232796012,1568.6509198387998,73.57602757191692,68.13384268368642,259.73339327153826,226.12239046450043,33.611002807037835,82.86701500667945,79.84781653792359,1,1,1,0,0,0
2017-06-12 00:00:00+00:00,2004.237854589601,1581.6814211831997,56.58197234633925,68.03643000186382,235.18815436288014,227.93554324417636,7.252611118703783,81.60861911108495,81.3589607509837,1,1,0,0,0,0
2017-06-13 00:00:00+00:00,2030.8253683150012,1595.6891391508998,59.49215443117007,67.78018042189481,221.71121542620676,226.69067768058244,-4.979462254375676,81.04060770288719,81.8387472735505,1,0,0,0,0,0
2017-06-14 00:00:00+00:00,2051.1349825110015,1606.8137834030997,49.65988896753788,67.11015558701126,185.4923131343262,218.45100477133118,-32.95869163700499,75.88434488753789,79.51119056716998,1,0,0,0,0,0
2017-06-15 00:00:00+00:00,2070.6420955716017,1618.2410231762997,49.27290157329642,66.2804804411949,153.98098580519672,205.5570009781043,-51.576015172907574,72.1641567583642,76.3630364495964,1,0,0,0,0,0
